Id,SalePrice
1461,107318.56
1462,145501.81
1463,182849.81
1464,192541.25
1465,208236.25
1466,170298.88
1467,184858.19
1468,161892.19
1469,203731.62
1470,128760.125
1471,156502.0
1472,94809.125
1473,93468.31
1474,143020.5
1475,103227.31
1476,375771.44
1477,261905.62
1478,332033.3
1479,301859.88
1480,473261.3
1481,316631.8
1482,226134.94
1483,169668.25
1484,165668.88
1485,198966.81
1486,187379.62
1487,340164.94
1488,245791.12
1489,202413.25
1490,248318.94
1491,195184.06
1492,89179.94
1493,228211.81
1494,319073.88
1495,294538.44
1496,237371.75
1497,177887.12
1498,175189.56
1499,155639.69
1500,165361.25
1501,187492.75
1502,148693.56
1503,277596.44
1504,248022.75
1505,223900.62
1506,193356.75
1507,243131.12
1508,221953.19
1509,154490.19
1510,149656.5
1511,149817.94
1512,173740.5
1513,155064.31
1514,160946.44
1515,210225.69
1516,145778.19
1517,158643.94
1518,117835.31
1519,198076.06
1520,120532.125
1521,125313.125
1522,192113.19
1523,111052.81
1524,128523.0
1525,112164.75
1526,107521.19
1527,115647.81
1528,124389.56
1529,157895.06
1530,221743.81
1531,141974.56
1532,98134.56
1533,156689.31
1534,124787.75
1535,147982.06
1536,95118.44
1537,78692.0
1538,157373.62
1539,227173.44
1540,93323.69
1541,141561.0
1542,142775.38
1543,178869.12
1544,88458.125
1545,117531.94
1546,155150.62
1547,143376.38
1548,147981.62
1549,128374.5
1550,151450.75
1551,99177.5
1552,172572.69
1553,153509.75
1554,116530.0
1555,147473.75
1556,79205.875
1557,97216.25
1558,91244.25
1559,115731.625
1560,133767.44
1561,119012.875
1562,131789.5
1563,130478.19
1564,170951.06
1565,161481.88
1566,241400.19
1567,78345.5
1568,224292.38
1569,152390.5
1570,130306.625
1571,96056.31
1572,137517.81
1573,247645.5
1574,121488.56
1575,251928.88
1576,244604.0
1577,188078.25
1578,148026.56
1579,152326.44
1580,188084.25
1581,166021.69
1582,142325.56
1583,272453.2
1584,223185.75
1585,138291.38
1586,75612.06
1587,105617.375
1588,160866.69
1589,102202.75
1590,123577.375
1591,85641.94
1592,120691.31
1593,135788.38
1594,195158.31
1595,122363.625
1596,241611.19
1597,182144.75
1598,214872.12
1599,189944.0
1600,170408.12
1601,77034.94
1602,122258.125
1603,70228.31
1604,272375.12
1605,232451.81
1606,154934.5
1607,168129.0
1608,210209.81
1609,186178.81
1610,149387.44
1611,140667.31
1612,175092.31
1613,162961.25
1614,144379.19
1615,96073.94
1616,69285.0
1617,90164.875
1618,129692.31
1619,152169.69
1620,178377.44
1621,128472.44
1622,136808.69
1623,270056.12
1624,199655.06
1625,99121.56
1626,173227.5
1627,185082.25
1628,283289.38
1629,183976.38
1630,324748.56
1631,243276.75
1632,241680.62
1633,187412.56
1634,187104.06
1635,177672.12
1636,150886.88
1637,201079.75
1638,181523.5
1639,181506.81
1640,232076.38
1641,179233.12
1642,254931.12
1643,223982.88
1644,231625.44
1645,223613.81
1646,160690.0
1647,151155.12
1648,136675.88
1649,138690.44
1650,126508.81
1651,132955.56
1652,101125.0
1653,104701.125
1654,144693.75
1655,132959.44
1656,139023.69
1657,156470.12
1658,151375.88
1659,118941.75
1660,161314.38
1661,400087.7
1662,395795.8
1663,375427.56
1664,445345.3
1665,335832.44
1666,323219.38
1667,347410.3
1668,360701.56
1669,334825.75
1670,359698.8
1671,255568.19
1672,413039.2
1673,336230.06
1674,256043.38
1675,200060.25
1676,199719.0
1677,213255.69
1678,430832.06
1679,369342.8
1680,340428.7
1681,289815.8
1682,313781.2
1683,196852.81
1684,173882.38
1685,180232.12
1686,167353.25
1687,172789.81
1688,178825.12
1689,194621.88
1690,192921.5
1691,189286.94
1692,260108.06
1693,183131.94
1694,187858.81
1695,177835.06
1696,262799.8
1697,185532.25
1698,354287.8
1699,342479.56
1700,267171.94
1701,274703.12
1702,231572.31
1703,236770.44
1704,268412.5
1705,251994.88
1706,335094.2
1707,209840.25
1708,204295.12
1709,271858.3
1710,232127.94
1711,271223.8
1712,251851.0
1713,268251.94
1714,209891.44
1715,210620.56
1716,185364.69
1717,187661.19
1718,142208.94
1719,209136.75
1720,238294.06
1721,156688.44
1722,119932.375
1723,153410.69
1724,211527.38
1725,250281.06
1726,192037.5
1727,153687.56
1728,160127.81
1729,177904.25
1730,176875.75
1731,123286.56
1732,124842.5
1733,112153.5
1734,114293.0
1735,109447.44
1736,98192.56
1737,284006.56
1738,257098.44
1739,253737.0
1740,204974.75
1741,181308.19
1742,177172.25
1743,173315.44
1744,307418.06
1745,214981.06
1746,215115.44
1747,217706.62
1748,210349.38
1749,128114.81
1750,112735.125
1751,239547.44
1752,122332.44
1753,156300.12
1754,201524.38
1755,159783.56
1756,151237.06
1757,115522.5
1758,160272.38
1759,164784.19
1760,166320.44
1761,156591.12
1762,200513.56
1763,188364.19
1764,104698.56
1765,171886.94
1766,184450.81
1767,220818.19
1768,145000.94
1769,169741.25
1770,147610.19
1771,124049.19
1772,135987.56
1773,143542.0
1774,139086.69
1775,137426.38
1776,134800.5
1777,106784.625
1778,149496.88
1779,126107.44
1780,162849.56
1781,127029.94
1782,91833.125
1783,142412.5
1784,110827.25
1785,123132.94
1786,150032.94
1787,154613.5
1788,61936.25
1789,100015.875
1790,78913.25
1791,168452.06
1792,159725.06
1793,112479.625
1794,162657.25
1795,122208.56
1796,143135.0
1797,112291.94
1798,123638.44
1799,104383.25
1800,127796.875
1801,135065.5
1802,127502.375
1803,154875.19
1804,135010.69
1805,132569.06
1806,115100.44
1807,132366.56
1808,123170.69
1809,126361.0
1810,151019.75
1811,74197.56
1812,102794.19
1813,133811.81
1814,108506.375
1815,64630.688
1816,82084.0
1817,120442.06
1818,151670.81
1819,126084.875
1820,32411.375
1821,107004.44
1822,157906.56
1823,55366.25
1824,121061.31
1825,152366.31
1826,92754.31
1827,102048.5
1828,139514.0
1829,142860.81
1830,138778.88
1831,141412.94
1832,63671.125
1833,144456.06
1834,106770.56
1835,93901.56
1836,121502.81
1837,66158.5
1838,105659.5
1839,123685.5
1840,178868.62
1841,128453.25
1842,90853.25
1843,133859.19
1844,156344.25
1845,159190.44
1846,155226.25
1847,174260.56
1848,81732.75
1849,128043.19
1850,110119.94
1851,129599.375
1852,121951.875
1853,106305.125
1854,158125.94
1855,162290.69
1856,216587.12
1857,144971.06
1858,140960.94
1859,114282.25
1860,150877.81
1861,113346.0
1862,294168.06
1863,280189.06
1864,280204.8
1865,360067.94
1866,344627.7
1867,223980.75
1868,282595.7
1869,210483.06
1870,227066.62
1871,267266.8
1872,176785.0
1873,227815.94
1874,149430.19
1875,185620.06
1876,199527.44
1877,201049.31
1878,207653.31
1879,140068.38
1880,131912.62
1881,230075.12
1882,237466.81
1883,177269.19
1884,197321.38
1885,232797.81
1886,280543.3
1887,212714.0
1888,257137.38
1889,165677.25
1890,113134.69
1891,129434.25
1892,91625.56
1893,122995.25
1894,121624.81
1895,129995.875
1896,131392.0
1897,110860.625
1898,100171.5
1899,147286.31
1900,161766.12
1901,201125.31
1902,162119.75
1903,209750.06
1904,150776.12
1905,198973.44
1906,153081.0
1907,210195.12
1908,106935.69
1909,135225.56
1910,123177.5
1911,226131.25
1912,298418.25
1913,134112.31
1914,73339.56
1915,340131.7
1916,53830.688
1917,226360.75
1918,130138.625
1919,171662.62
1920,157474.31
1921,362782.8
1922,332272.0
1923,215977.19
1924,213871.12
1925,191383.0
1926,365035.94
1927,120195.375
1928,161888.69
1929,110588.56
1930,114915.94
1931,131237.12
1932,131276.25
1933,206687.44
1934,179537.19
1935,160962.75
1936,205657.75
1937,183199.56
1938,178470.56
1939,263099.8
1940,205060.88
1941,166654.19
1942,167632.12
1943,243383.56
1944,379983.94
1945,408917.56
1946,147949.69
1947,269471.94
1948,168011.38
1949,245345.69
1950,186100.06
1951,240676.44
1952,196858.62
1953,169390.81
1954,178268.06
1955,127074.75
1956,297911.56
1957,150631.69
1958,269798.94
1959,136010.12
1960,114015.125
1961,124358.25
1962,89449.25
1963,103319.125
1964,102413.25
1965,145811.06
1966,139618.31
1967,300817.7
1968,396096.8
1969,393205.8
1970,398483.3
1971,451832.2
1972,361701.94
1973,310080.3
1974,337993.06
1975,444027.2
1976,288460.0
1977,363388.56
1978,335370.56
1979,336032.44
1980,184281.31
1981,347064.44
1982,228485.12
1983,213361.25
1984,172132.88
1985,227089.06
1986,205357.38
1987,209773.81
1988,172308.25
1989,187290.75
1990,208428.38
1991,234197.62
1992,222651.62
1993,164626.69
1994,235859.38
1995,175416.38
1996,285787.88
1997,337149.56
1998,304144.5
1999,295155.75
2000,331648.94
2001,288905.88
2002,245148.38
2003,268013.3
2004,278584.0
2005,223064.62
2006,238742.44
2007,251499.75
2008,229176.12
2009,209629.5
2010,192681.25
2011,136569.5
2012,180881.69
2013,181791.44
2014,185867.31
2015,221947.75
2016,197628.0
2017,201492.5
2018,104542.31
2019,128489.875
2020,73442.56
2021,92236.44
2022,213815.69
2023,150732.94
2024,305369.12
2025,393127.8
2026,169734.56
2027,165276.88
2028,155826.56
2029,168411.38
2030,283256.5
2031,256725.69
2032,285403.5
2033,278055.88
2034,181121.38
2035,229673.38
2036,202405.06
2037,210805.44
2038,330194.5
2039,236913.38
2040,332513.06
2041,296749.44
2042,207347.56
2043,185934.69
2044,179732.69
2045,196489.12
2046,142967.44
2047,138614.0
2048,150009.56
2049,147384.69
2050,170963.0
2051,105190.5
2052,127198.75
2053,143990.25
2054,89752.125
2055,150358.94
2056,140578.06
2057,101223.56
2058,205634.75
2059,139128.06
2060,178046.19
2061,162581.38
2062,118179.25
2063,120550.69
2064,130763.06
2065,115664.75
2066,167680.44
2067,120141.25
2068,126574.625
2069,77672.625
2070,109583.44
2071,113756.56
2072,143311.56
2073,126318.69
2074,158207.75
2075,159947.12
2076,122278.69
2077,158964.56
2078,126011.06
2079,128571.625
2080,116909.06
2081,131281.0
2082,134373.44
2083,162353.81
2084,117562.375
2085,107366.19
2086,110128.44
2087,120959.69
2088,87432.25
2089,71938.06
2090,132759.44
2091,108388.44
2092,142065.31
2093,129393.44
2094,97574.75
2095,153968.62
2096,92358.25
2097,89001.125
2098,151687.94
